CID,Limit,AverageTransactionValue,MDP,Unpaid Daily Principle ,Unpaid Interest ,TotalDuetoReset,DayDelay,Gender_Man,Gender_Woman,Card Status_Active,Card Status_Blocked by Customer,Card Status_Blocked by Easy Credit,Card Status_Lost,Card Status_Stolen,PREDICTED_CLASS
14012895,400,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,MiddleRisk
14012900,300,31.026,45.0,303.73,19.89,356.99,0,1,0,1,0,0,0,0,MiddleRisk
14012902,300,137.425,45.0,274.85,15.84,454.62,87,1,0,0,0,1,0,0,MiddleRisk
14012905,300,58.9557142857143,45.0,297.91,8.55,306.46,0,1,0,1,0,0,0,0,MiddleRisk
14012906,300,12.3740476190476,45.0,256.49,0.31,256.8,0,1,0,1,0,0,0,0,MiddleRisk
14012909,300,21.2953333333333,45.0,291.64,20.08,430.74,56,0,1,0,0,1,0,0,MiddleRisk
14012911,300,21.3327777777778,45.0,299.98,8.98,308.96,0,0,1,1,0,0,0,0,MiddleRisk
14012914,300,93.2216666666666,45.0,300.0,10.08,310.08,0,1,0,0,0,1,0,0,MiddleRisk
14012915,300,43.1825,45.0,285.81,0.34,286.15,0,1,0,1,0,0,0,0,MiddleRisk
14012918,300,175.4,45.0,278.97,1.32,280.29,0,1,0,1,0,0,0,0,MiddleRisk
14012718,400,227.5,60.0,161.31,0.0,161.31,0,0,1,1,0,0,0,0,MiddleRisk
14012722,300,300.0,45.0,260.44,0.62,261.06,0,1,0,1,0,0,0,0,MiddleRisk
14012723,300,16.735,45.0,259.86,9.59,294.94,0,1,0,1,0,0,0,0,MiddleRisk
14012733,300,53.9604347826087,45.0,62.48,0.07,62.55,0,1,0,1,0,0,0,0,MiddleRisk
14012742,300,40.7117391304348,45.0,298.35,19.69,401.88,28,1,0,0,0,1,0,0,MiddleRisk
14012752,300,87.936,0.0,0.0,0.0,-32.98,0,1,0,1,0,0,0,0,MiddleRisk
14012755,300,42.8142857142857,45.0,299.7,22.3,491.44,87,0,1,0,0,1,0,0,MiddleRisk
14012756,400,42.4354545454546,60.0,280.7,0.33,281.03,0,1,0,1,0,0,0,0,MiddleRisk
14012757,300,22.3872222222222,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,MiddleRisk
14012762,500,47.358,75.0,498.77,17.55,554.75,0,0,1,1,0,0,0,0,MiddleRisk
14012763,300,28.7219047619048,45.0,296.38,20.55,329.32,0,0,1,1,0,0,0,0,MiddleRisk
14012765,300,86.0175,45.0,299.96,21.13,433.29,28,1,0,0,1,0,0,0,MiddleRisk
14012768,300,104.625,45.0,299.2,24.12,492.66,87,1,0,0,0,1,0,0,MiddleRisk
14012776,300,27.8458333333333,45.0,295.55,20.16,426.58,28,0,1,0,0,1,0,0,MiddleRisk
14012784,400,43.1636842105263,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,MiddleRisk
14012785,300,92.8333333333333,45.0,278.5,17.79,460.94,87,0,1,0,0,1,0,0,MiddleRisk
14012787,300,23.2354166666667,45.0,297.79,9.18,306.97,0,1,0,1,0,0,0,0,MiddleRisk
