CID,Gender,Limit,AverageTransactionValue,MDP,Unpaid Daily Principle ,Unpaid Interest ,TotalDuetoReset,DayDelay,Card Status
14012944,Woman,300,24.6035714285714,45,259.85,17.29,323.08,0,Active
14012951,Man,300,34.9191666666667,0,0,0,0,0,Active
14012954,Woman,300,64.358,45,298.84,18.46,486.56,87,Blocked by The company
14012958,Woman,300,6.36666666666667,45,299.19,9.49,328.17,0,Active
14012962,Woman,300,19.9582352941176,45,297.89,21.98,465.94,56,Blocked by The company
14012972,Man,400,42.5709090909091,60,395.56,14.56,448.19,0,Active
14012973,Man,400,88.55,0,0,0,0,0,Active
14012975,Man,300,45.6269565217391,45,270.96,1.75,272.71,0,Active
14012978,Woman,400,170.866666666667,60,395.2,10.29,405.49,0,Active
14012980,Woman,300,104.916666666667,45,290.68,10.23,312.73,0,Active
14012982,Woman,300,37.39375,45,299.15,16.68,485.17,87,Blocked by The company
14012983,Woman,300,83.69,0,0,0,0,0,Active
14012985,Man,300,23.8084615384615,45,298.86,29.06,371.25,0,Active
14012986,Man,400,22.6294444444444,60,395.39,11.78,407.17,0,Active
14012989,Man,300,99.99,45,299.97,16.5,485.97,87,Blocked by The company
14012993,Man,300,66.5455555555556,45,299.21,21.24,404.37,28,Blocked by The company
14013003,Man,400,16.741935483871,60,395.59,12.45,437.83,0,Active
14013007,Man,700,93.0544444444445,105,699.97,25.96,791.93,0,Active
14013027,Woman,300,33.5767857142857,45,299.56,11.11,336.61,0,Active
14013029,Man,300,137.825,45,208.52,7.75,237.12,0,Active
14013030,Woman,400,226.25,60,398.14,25.2,434.96,0,Active
14013040,Man,300,59.718,45,298.59,15.64,482.67,87,Blocked by The company
14013041,Man,300,62.015,45,258.78,8.96,287.37,0,Active
14013042,Man,300,29.4366666666667,0,0,0,0,0,Active
14013047,Woman,300,42.6033333333333,45,298.6,10.89,335.45,0,Active
